,lwe_thickness,total_thickness_of_water_storage
2009-12-31,-1.4938733551984145,48.66578691855284
2010-01-31,6.262856081430769,53.62916582480284
2010-02-28,7.445681996660142,54.24098223105284
2010-03-31,7.089263260151627,55.43190019980284
2010-04-30,6.299418200954897,52.28297441855284
2010-05-31,7.18036022857161,55.82740801230284
2010-06-30,2.747178359297241,48.78199785605284
2010-07-31,-0.920567875661518,43.37574785605284
2010-08-31,-5.53329349936854,44.08326738730284
2010-09-30,-7.6858466542692065,42.51295488730284
2010-10-31,-7.810694071700426,44.22047441855284
2010-11-30,0.4959423561214304,54.01393144980284
2010-12-31,5.0218155188635345,58.39576738730284
2011-01-31,,59.41822832480284
2011-02-28,2.6812215823613346,57.00416582480284
2011-03-31,7.162119005815028,57.69752519980284
2011-04-30,2.859360335300331,51.90260332480284
2011-05-31,-0.795835298702284,46.25807207480284
2011-06-30,,45.90357988730284
2011-07-31,-5.9084742577181375,43.67311113730284
2011-08-31,-6.849300210959574,41.43629473105284
2011-09-30,-12.161512429609791,39.50074785605284
2011-10-31,-12.989825442416755,38.36842363730284
2011-11-30,-7.770360209503504,46.78541582480284
2011-12-31,,48.66041582480284
2012-01-31,1.0627927330546776,51.50025957480284
2012-02-29,1.5075973727532164,51.82350176230284
2012-03-31,3.5834655891966416,50.71754473105284
2012-04-30,-2.634609769125099,52.67164629355284
2012-05-31,,53.88111894980284
2012-06-30,-3.3797074180495823,48.92652910605284
2012-07-31,-9.040895120224146,42.79176348105284
2012-08-31,-16.15463944290036,39.50318926230284
2012-09-30,-13.370010740838842,42.52223223105284
2012-10-31,,44.50270098105284
2012-11-30,-1.3506455360546208,52.04518144980284
2012-12-31,2.2277168341163645,57.48072832480284
2013-01-31,8.74832389206689,58.55543535605284
2013-02-28,10.193328929642586,61.19264238730284
2013-03-31,,64.77516191855284
2013-04-30,10.602571839257115,68.07545488730284
2013-05-31,13.952467717632757,67.75221269980284
2013-06-30,11.282352000903975,59.93238848105284
2013-07-31,-1.2259283615343044,51.55738848105284
2013-08-31,,45.80641191855284
2013-09-30,,44.15797441855284
2013-10-31,-4.796471439208866,49.51539629355284
2013-11-30,3.293099883855624,53.23902910605284
2013-12-31,2.6964214673240576,56.35084551230284
2014-01-31,6.879691304971566,67.54762285605284
2014-02-28,,79.27320879355284
2014-03-31,16.72539105745628,78.45777910605284
2014-04-30,8.68332297780515,69.75221269980284
2014-05-31,7.460381493990145,65.56666582480284
2014-06-30,0.4526982627975056,59.65113848105284
2014-07-31,,58.93385332480284
2014-08-31,2.6569961683957413,58.50025957480284
2014-09-30,-2.1893258056271048,54.46070879355284
2014-10-31,-4.003060224895131,55.76002519980284
2014-11-30,6.3708126847335675,59.38893144980284
2014-12-31,,62.00709551230284
2015-01-31,11.603613518983362,62.44020098105284
2015-02-28,12.746777696777771,67.87428301230284
2015-03-31,9.327118203416438,66.65113848105284
2015-04-30,7.642039705555122,63.41529863730284
2015-05-31,,61.30690019980284
2015-06-30,,57.09986894980284
2015-07-31,-8.991571294360025,49.71803301230284
2015-08-31,-10.868266385118506,48.70387285605284
2015-09-30,-13.74173729724054,50.20631426230284
2015-10-31,,54.30787676230284
2015-11-30,,54.21949785605284
2015-12-31,-14.593494742127563,53.01002519980284
